id,name,address,distance,lng,lat,delivery_fee,min_order_amount,open_time_description,review_avg,categories
2001,BHC-수서점,서울 강남구 수서동 725-1 목화오피스텔 101,2000,127.1034381,37.4869747,0,0,요기요 서비스 준비중,4.5,"['치킨', '테이크아웃', '프랜차이즈']"
2002,BHC-압구정본점,서울 강남구 압구정동 454신사상가지상1층 A-1-13-3호,2000,127.0284149,37.5322914,0,0,12:00 - 22:00,4.5,"['치킨', '프랜차이즈']"
2020,BHC-여의도점,서울 영등포구 여의도동 50,2000,126.937061774441,37.5207222950831,0,0,11:00 - 23:00,3.9,"['야식', '프랜차이즈', '치킨']"
2036,현경-양재점,서울 서초구 양재동 5-2,2000,127.0411014,37.480647,0,0,09:00 - 20:40,3.8,"['중식', '1인분주문']"
,,,,,,,,,,
2056,59쌀피자-봉천원당점,서울 관악구 인헌동 1638-22 1층 109,2000,126.9660253,37.4741302,0,0,영업시간 종료,4.4,"['프랜차이즈', '피자양식']"
2061,59쌀피자-오류남부역점,서울 구로구 오류동 150-37 1층 103호,2000,126.843054831085,37.4918285250845,0,0,11:00 - 22:10,4.4,"['피자양식', '프랜차이즈', '치킨', '테이크아웃', '1인분주문']"
2063,피자나라치킨공주(자양점),서울 광진구 자양동 608-31,2000,127.076372946302,37.5324453888417,0,0,12:00 - 23:45,4.5,"['피자양식', '프랜차이즈']"
2075,BHC-목동2호점,서울 양천구 목동 761-14 1층,2000,126.8686351,37.5372665,0,0,12:00 - 00:00,4.5,"['치킨', '프랜차이즈']"
2077,BHC-이대목동점,서울 양천구 목동 909-4번지 1층,2000,126.8847422,37.5376751,0,0,12:00 - 23:59,4.7,"['야식', '프랜차이즈', '치킨', '테이크아웃']"
2092,BHC-목동단지점,"서울 양천구 신정동 1026-11, 1층",2000,126.859043200001,37.5213292999357,0,0,12:00 - 23:30,4.6,"['치킨', '프랜차이즈']"
2107,중국성-광진구의점,서울 광진구 구의3동 593-19번지 지하1층 우림빌딩,2000,127.0912007,37.5344997,0,0,요기요 서비스 준비중,4.2,['중식']
2112,BHC-등촌점,서울 강서구 등촌동 366-140,2000,126.861347156526,37.5491444101951,0,0,11:30 - 23:00,4.6,"['치킨', '프랜차이즈']"
2118,59쌀피자-난곡점,서울 관악구 신림동 621-26,2000,126.9199937,37.4716278,0,0,11:00 - 23:00,4.6,"['프랜차이즈', '피자양식']"
2125,황룡,서울 광진구 광장동 288-16 1층,2000,127.104355499216,37.5472918168822,0,0,10:30 - 20:40,4.2,['중식']
2139,BHC-신도림미래점,서울 구로구 구로동 1267,2000,126.8886551,37.5060825,0,0,12:00 - 23:30,4.7,"['프랜차이즈', '치킨']"
2143,BHC-오류초교점,서울 구로구 오류동  24-20 1층,2000,126.842648600001,37.4969652999325,0,0,12:00 - 23:30,4.5,"['치킨', '프랜차이즈']"
2147,피자나라치킨공주-구로1호점,서울 구로구 구로4동 750-9번지 1층,2000,126.8869817,37.487612,0,0,11:00 - 23:00,4.5,"['1인분주문', '프랜차이즈', '피자양식', '치킨']"
2148,놀부보쌈-개봉점,서울 구로구 개봉동 403-58,2000,126.8557772,37.4903088,0,0,요기요 서비스 준비중,4.1,"['족발보쌈', '프랜차이즈']"
2179,BHC-성내점,서울 강동구 성내동 382-5 1층,2000,127.1335368,37.5332582999373,0,0,12:00 - 00:00,4.6,"['치킨', '프랜차이즈']"
2186,BHC-암사점,서울 강동구 암사동 491-64번지 1층,2000,127.1316632,37.5485273,0,0,12:00 - 00:00,4.4,"['테이크아웃', '프랜차이즈', '야식', '치킨']"
2190,미스터피자-여의도점,"서울 영등포구 여의도동 37 아일렉스 상가 지하 01호, 03호",2000,126.924009519921,37.520470190724,0,0,11:00 - 21:30,4.6,"['프랜차이즈', '피자양식']"
2191,금문중화요리,서울 은평구 대조동 191-27,2000,126.923059,37.6151748,0,0,10:30 - 20:30,4.5,['중식']
2195,미스터피자-이대점,서울 서대문구 대현동 53-4 대현아파트 1층 102호,2000,126.946289378351,37.5586421865746,0,0,11:00 - 21:30,4.6,"['프랜차이즈', '피자양식']"
2214,미스터피자-금호점,서울 성동구 금호동1가 1803,2000,127.0260738618,37.5485513292374,0,0,요기요 서비스 준비중,4.3,"['프랜차이즈', '피자양식']"
2217,교촌치킨-덕성여대점,서울 강북구 우이동 72-148,2000,127.0132852,37.6498441,0,0,12:00 - 23:40,4.6,"['프랜차이즈', '치킨']"
