id,name,address,distance,lng,lat,delivery_fee,min_order_amount,open_time_description,review_avg,categories
697,수보쌈,서울 양천구 신월1동 114-4번지 1층 수보쌈,2000,126.835945900001,37.5335164999373,0,0,13:00 - 00:30,4.5,"['야식', '프랜차이즈', '족발보쌈']"
723,대맥,서울 송파구 잠실7동 101-1,2000,127.0729819,37.5068555,0,0,10:00 - 20:00,4.0,['중식']
741,찌개나라,서울 송파구 송파동 97-12 1층 1호,2000,127.111278413785,37.5017222673488,0,0,10:00 - 19:00,4.2,"['한식', '분식', '일식돈까스']"
753,용봉,서울 송파구 석촌동 210-20 나래울빌딩 1층,2000,127.097178894677,37.5019097542838,0,0,10:00 - 20:40,4.4,['중식']
760,24시중화요리몽차이,서울 송파구 잠실본동 192-13,2000,127.0810398,37.5095938,0,0,알 수 없습니다,4.1,['중식']
763,신화불닭-송파점,서울 송파구 석촌동 274 지하1층 B2호,2000,127.105436920182,37.5000151351195,0,0,11:00 - 02:45,4.5,"['한식', '야식']"
775,주몽,서울 강남구 신사동  666-2 1층,2000,127.0386725,37.5243907,0,0,10:00 - 21:30,4.0,['중식']
794,피자마리노,서울 동작구 사당1동 1016-12,2000,126.9768742,37.4814298,0,0,요기요 서비스 준비중,4.5,"['1인분주문', '피자양식']"
795,맘마홈도시락,서울 송파구 신천동 7 장미아파트 에이상가 A상가1동지하1층 8-1호,2000,127.099413620484,37.5196241578046,0,0,10:00 - 14:00,4.8,"['한식', '치킨', '일식돈까스']"
818,밥통직화구이,서울 강남구 논현동  242-16밥통직화구이,2000,127.0407467,37.515795099935,0,0,09:00 - 08:59,4.2,"['야식', '한식']"
831,피자아이,서울 강남구 역삼동  670-3 1층,2000,127.0373356,37.5036806999334,0,0,요기요 서비스 준비중,4.6,['피자양식']
848,서울중국집,서울 송파구 송파동 8-1 1층,2000,127.105030707283,37.5087963903288,0,0,요기요 서비스 준비중,4.1,['중식']
865,클레오파스타,서울 서초구 반포동 724-14 101호,2000,127.021597324323,37.5082717538298,0,0,10:00 - 09:59,4.0,"['1인분주문', '테이크아웃', '야식', '피자양식']"
878,원조마산아구찜,서울 강동구 명일동 248-1,2000,127.153082152973,37.5488506144792,0,0,11:30 - 00:00,4.3,"['야식', '한식']"
899,신난향꿀짜장,서울 마포구 아현동 331-26 1층 좌측,2000,126.953955,37.5568363,0,0,09:10 - 20:40,4.5,['중식']
932,야래향,서울 송파구 신천동 7번지 장미a상가 1동 지하층 1호 야래향 중국집,2000,127.0994131,37.519587,0,0,11:00 - 21:00,3.7,['중식']
934,피자피오,서울 마포구 연남동 561-1 1층,2000,126.9202069,37.5613477,0,0,요기요 서비스 준비중,4.8,"['야식', '피자양식', '치킨', '테이크아웃']"
936,키즈앤맘,서울 강남구 논현동 273-16번지 1층,2000,127.039063164232,37.5102536042646,0,0,10:00 - 20:30,4.2,"['치킨', '일식돈까스', '분식', '한식']"
941,만다리-신당동점,서울 중구 신당동 333-67 1층,2000,127.013430969847,37.5575098033025,0,0,요기요 서비스 준비중,4.3,['중식']
951,피자쏠레-본점,서울 서대문구 북가좌동 283-22,2000,126.9159318,37.5805004,0,0,요기요 서비스 준비중,4.8,['피자양식']
963,명궁,서울 강남구 신사동 566-34,2000,127.027279283367,37.522535089861,0,0,10:30 - 20:40,4.5,"['1인분주문', '중식']"
