일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),업종
20191216,30,남성,서울,강남구,한식
20191211,40,남성,서울,강남구,한식
20191228,50,여성,서울,강남구,한식
20191213,30,여성,서울,강남구,양식
20191229,40,여성,서울,강남구,한식
20191230,40,여성,서울,강남구,한식
20191217,40,남성,서울,강남구,한식
20191230,30,여성,서울,강남구,양식
20191204,50,남성,서울,강남구,한식
20191204,50,여성,서울,강남구,한식
20191204,60,남성,서울,강남구,한식
20191229,30,남성,서울,강남구,한식
20191219,20,여성,서울,강남구,한식
20191203,50,여성,서울,강남구,한식
20191224,30,남성,서울,강남구,중식
20191224,30,남성,서울,강남구,양식
20191231,40,남성,서울,강남구,중식
20191231,40,여성,서울,강남구,치킨
20191227,50,여성,서울,강남구,한식
20191228,30,여성,서울,강남구,한식
20191217,40,여성,서울,강남구,양식
20191231,30,여성,서울,강남구,한식
20191220,20,여성,서울,강남구,한식
20191217,30,여성,서울,강남구,한식
20191231,40,여성,서울,강남구,양식
20191224,50,남성,서울,강남구,한식
20191204,30,여성,서울,강남구,한식
20191227,20,여성,서울,강남구,한식
20191229,30,여성,서울,강남구,한식
20191213,30,남성,서울,강남구,양식
20191201,40,여성,서울,강남구,한식
20191212,50,남성,서울,강남구,한식
20191202,40,남성,서울,강남구,한식
20191224,30,여성,서울,강남구,한식
20191212,40,남성,서울,강남구,한식
20191210,50,남성,서울,강남구,한식
20191218,20,여성,서울,강남구,한식
20191224,40,여성,서울,강남구,양식
20191207,30,남성,서울,강남구,한식
20191223,30,여성,서울,강남구,한식
20191217,30,여성,서울,강남구,양식
20191223,40,여성,서울,강남구,양식
20191231,30,남성,서울,강남구,한식
20191217,30,남성,서울,강남구,한식
20191206,40,남성,서울,강남구,중식
20191223,30,여성,서울,강남구,양식
20191212,40,여성,서울,강남구,중식
20191213,20,여성,서울,강남구,한식
20191229,40,남성,서울,강남구,한식
20191217,60,남성,서울,강남구,한식
20191206,40,여성,서울,강남구,치킨
20191211,40,여성,서울,강남구,중식
20191206,50,남성,서울,강남구,한식
20191216,50,여성,서울,강남구,한식
20191212,30,여성,서울,강남구,한식
20191212,40,여성,서울,강남구,양식
20191220,60,남성,서울,강남구,한식
20191206,30,남성,서울,강남구,한식
20191222,40,여성,서울,강남구,중식
20191220,40,여성,서울,강남구,중식
20191224,20,남성,서울,강남구,한식
20191218,40,여성,서울,강남구,양식
20191218,30,여성,서울,강남구,한식
20191231,20,여성,서울,강남구,한식
20191202,50,여성,서울,강남구,한식
20191223,40,여성,서울,강남구,한식
20191207,40,남성,서울,강남구,한식
20191207,30,여성,서울,강남구,한식
20191212,40,남성,서울,강남구,중식
20191213,40,여성,서울,강남구,양식
20191225,40,여성,서울,강남구,중식
20191206,30,남성,서울,강남구,양식
20191227,40,남성,서울,강남구,한식
20191213,30,여성,서울,강남구,한식
20191223,60,남성,서울,강남구,한식
20191205,30,여성,서울,강남구,한식
20191227,50,남성,서울,강남구,한식
20191202,60,남성,서울,강남구,한식
20191218,60,남성,서울,강남구,한식
20191216,60,남성,서울,강남구,한식
20191213,40,남성,서울,강남구,한식
20191221,30,남성,서울,강남구,한식
20191206,30,남성,서울,강남구,중식
20191216,30,여성,서울,강남구,양식
20191226,20,여성,서울,강남구,한식
20191230,30,남성,서울,강남구,한식
20191231,40,남성,서울,강남구,한식
20191225,30,남성,서울,강남구,양식
20191228,40,남성,서울,강남구,한식
20191224,40,남성,서울,강남구,양식
20191224,30,남성,서울,강남구,한식
20191215,40,남성,서울,강남구,한식
20191206,60,남성,서울,강남구,한식
20191219,30,남성,서울,강남구,중식
20191214,30,여성,서울,강남구,한식
20191226,60,남성,서울,강남구,한식
20191208,30,여성,서울,강남구,한식
20191224,40,여성,서울,강남구,간식
20191212,50,여성,서울,강남구,한식
20191220,40,여성,서울,강남구,치킨
20191220,40,남성,서울,강남구,중식
20191231,30,여성,서울,강남구,양식
20191221,30,남성,서울,강남구,양식
20191226,40,남성,서울,강남구,중식
20191207,50,남성,서울,강남구,한식
20191224,30,여성,서울,강남구,양식
20191214,30,남성,서울,강남구,한식
20191206,20,여성,서울,강남구,한식
20191214,40,남성,서울,강남구,한식
20191211,50,남성,서울,강남구,한식
20191210,30,여성,서울,강남구,한식
20191206,40,남성,서울,강남구,한식
20191220,30,남성,서울,강남구,한식
20191230,50,남성,서울,강남구,한식
20191203,40,남성,서울,강남구,한식
20191203,30,남성,서울,강남구,한식
20191211,40,여성,서울,강남구,한식
20191218,30,여성,서울,강남구,양식
20191218,30,남성,서울,강남구,양식
20191224,30,여성,서울,강남구,카페
20191209,50,남성,서울,강남구,한식
20191202,40,여성,서울,강남구,한식
20191210,60,남성,서울,강남구,한식
20191206,40,여성,서울,강남구,한식
20191211,60,남성,서울,강남구,한식
20191215,30,남성,서울,강남구,한식
20191225,50,여성,서울,강남구,한식
20191215,40,여성,서울,강남구,중식
