일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),업종
20200111,30,남성,서울,강동구,치킨
20200127,40,남성,서울,강동구,치킨
20200109,30,여성,서울,강동구,한식
20200114,30,남성,서울,강동구,한식
20200110,40,남성,서울,강동구,중식
20200110,50,남성,서울,강동구,한식
20200112,40,남성,서울,강동구,한식
20200110,40,여성,서울,강동구,치킨
20200104,40,여성,서울,강동구,한식
20200127,40,여성,서울,강동구,한식
20200119,40,여성,서울,강동구,중식
20200107,50,여성,서울,강동구,한식
20200112,50,남성,서울,강동구,한식
20200117,50,여성,서울,강동구,한식
20200109,40,여성,서울,강동구,한식
20200102,50,남성,서울,강동구,한식
20200131,30,남성,서울,강동구,한식
20200115,30,여성,서울,강동구,한식
20200130,50,여성,서울,강동구,한식
20200121,40,여성,서울,강동구,한식
20200101,40,남성,서울,강동구,한식
20200131,40,여성,서울,강동구,한식
20200122,30,여성,서울,강동구,한식
20200113,30,남성,서울,강동구,한식
20200117,50,남성,서울,강동구,한식
20200111,60,여성,서울,강동구,한식
20200109,30,남성,서울,강동구,한식
20200106,60,여성,서울,강동구,한식
20200117,30,여성,서울,강동구,한식
20200108,30,여성,서울,강동구,한식
20200130,30,남성,서울,강동구,한식
20200110,50,여성,서울,강동구,한식
20200109,40,여성,서울,강동구,중식
20200112,40,여성,서울,강동구,중식
20200106,50,여성,서울,강동구,한식
20200108,40,여성,서울,강동구,치킨
20200111,30,여성,서울,강동구,한식
20200127,40,남성,서울,강동구,한식
20200104,40,여성,서울,강동구,치킨
20200118,40,남성,서울,강동구,치킨
20200115,60,여성,서울,강동구,한식
20200112,40,여성,서울,강동구,치킨
20200109,50,남성,서울,강동구,한식
20200118,40,남성,서울,강동구,중식
20200116,40,여성,서울,강동구,치킨
20200129,50,여성,서울,강동구,한식
20200121,40,남성,서울,강동구,한식
20200124,50,남성,서울,강동구,한식
20200127,40,여성,서울,강동구,치킨
20200117,30,남성,서울,강동구,한식
20200103,40,남성,서울,강동구,중식
20200103,40,남성,서울,강동구,한식
20200131,60,여성,서울,강동구,한식
20200129,40,남성,서울,강동구,한식
20200118,50,여성,서울,강동구,한식
20200118,30,여성,서울,강동구,한식
20200101,50,여성,서울,강동구,중식
20200124,30,남성,서울,강동구,한식
20200128,50,남성,서울,강동구,한식
20200122,40,여성,서울,강동구,한식
20200123,50,여성,서울,강동구,한식
20200111,50,여성,서울,강동구,한식
20200116,50,여성,서울,강동구,한식
20200106,40,여성,서울,강동구,한식
20200112,30,남성,서울,강동구,한식
20200108,60,여성,서울,강동구,한식
20200114,30,여성,서울,강동구,한식
20200103,60,여성,서울,강동구,한식
20200118,60,남성,서울,강동구,한식
20200105,40,남성,서울,강동구,한식
20200120,40,여성,서울,강동구,한식
20200118,30,남성,서울,강동구,한식
20200111,30,남성,서울,강동구,한식
20200123,40,여성,서울,강동구,한식
20200113,40,여성,서울,강동구,한식
20200125,40,여성,서울,강동구,한식
20200125,40,남성,서울,강동구,한식
20200126,40,남성,서울,강동구,치킨
20200119,40,남성,서울,강동구,한식
20200107,40,여성,서울,강동구,중식
20200130,50,남성,서울,강동구,한식
20200119,40,남성,서울,강동구,중식
20200101,40,여성,서울,강동구,치킨
20200129,60,남성,서울,강동구,한식
20200104,50,여성,서울,강동구,한식
20200104,40,남성,서울,강동구,한식
20200114,40,여성,서울,강동구,한식
20200102,50,여성,서울,강동구,한식
20200121,50,남성,서울,강동구,한식
20200105,40,남성,서울,강동구,치킨
20200130,40,남성,서울,강동구,한식
