20190901,23.7,0
20190902,24.4,0
20190903,24.1,0
20190904,22.8,22.7
20190905,23,36.4
20190906,25.3,2.4
20190907,25.7,2.8
20190908,24.7,0
20190909,25.1,0
20190910,23.8,63.2
20190911,24.3,7.6
20190912,21,3.9
20190913,23.3,0.1
20190914,22.4,0.3
20190915,24.2,0
20190916,24.5,0
20190917,23.5,0
20190918,21,0
20190919,19.5,0
20190920,19.6,0
20190921,19.6,0
20190922,18.6,0.4
20190923,20,0
20190924,19.8,0
20190925,20.9,0
20190926,22.9,0
20190927,22.9,0
20190928,23.7,0
20190929,22.6,0
20190930,22.4,0
20191001,23.1,0
20191002,21.6,23.1
20191003,22.4,4.6
20191004,22.4,0
20191005,18.7,0.6
20191006,18.1,0
20191007,14.8,25.4
20191008,14.7,0
20191009,13.6,0
20191010,15.2,0
20191011,18.8,0
20191012,17.9,0
20191013,17.2,0
20191014,14.4,0
20191015,14.5,0
20191016,14.6,0
20191017,15.4,0
20191018,17,0
20191019,17,0
20191020,16.5,0
20191021,17.1,0
20191022,18.1,0
20191023,17,0
20191024,18.3,0
20191025,16.7,0
20191026,10,0
20191027,11,0
20191028,12.9,1.7
20191029,12.5,0.1
20191030,11.2,0
20191031,14.8,0
20191101,14.9,0
20191102,13.6,0
20191103,14.7,0
20191104,13.8,0
20191105,12.4,0
20191106,11,0
20191107,9.2,0
20191108,6.8,0
20191109,9.5,0
20191110,10,11.8
20191111,11.2,1.1
20191112,9.3,0
20191113,7.2,7.5
20191114,1.3,0
20191115,5.6,18.8
20191116,6.8,0
20191117,8.3,21.1
20191118,4.6,14.7
20191119,0.2,0
20191120,0.5,0
20191121,4.2,0
20191122,9.7,0
20191123,12.1,0
20191124,9.8,3.8
20191125,1.9,0
20191126,6.6,0
20191127,3.1,0
20191128,3.5,0
20191129,1.5,0
20191130,4.1,0
20191201,4.6,3.3
20191202,-0.1,0
20191203,0.5,0.6
20191204,2,0
20191205,-4.4,0
20191206,-5.9,0
20191207,-2.4,0.1
20191208,-0.9,0
20191209,3.2,0
20191210,8.1,1.7
20191211,6.3,0.2
20191212,-0.7,0
20191213,2.1,1
20191214,2.7,0
20191215,5.3,0
20191216,7.8,0
20191217,7.7,9.8
20191218,0.8,0
20191219,-0.8,0
20191220,-1.1,0
20191221,-1.2,0.6
20191222,4.1,0.3
20191223,3.4,2.9
20191224,0.8,0
20191225,2,0
20191226,2,0.3
20191227,-1.7,0
20191228,1.1,0
20191229,3.8,1.4
20191230,2.7,0.4
20191231,-7.9,0
20200101,-2.2,0.1
20200102,1,0
20200103,-0.1,0
20200104,1.2,0
20200105,1.3,0
20200106,3.1,1.8
20200107,6.3,46.3
20200108,2.4,11.6
20200109,-1.2,0
20200110,-0.6,0
20200111,-0.1,0
20200112,-1,0
20200113,-2.9,0
20200114,-2.3,0
20200115,-2.7,0
20200116,-1.7,0
20200117,-0.6,0
20200118,0.3,0
20200119,1.9,0.6
20200120,0.7,0
20200121,-0.4,0
20200122,3,0
20200123,4.6,0
20200124,2.8,0
20200125,4.3,0
20200126,5.5,0
20200127,5.9,0.1
20200128,6.8,0
20200129,6,0
20200130,5.2,0
20200131,3.9,0
20200201,2.6,0
20200202,1.5,0
20200203,-0.4,0
20200204,-1.6,1.7
20200205,-8.3,0
20200206,-6.4,0
20200207,-1.7,0
20200208,-0.1,0
20200209,-0.5,0
20200210,4,0
20200211,6.8,0
20200212,7.4,6.7
20200213,6.5,0
20200214,8.1,0
20200215,9.8,2
20200216,-1.4,13.4
20200217,-5.9,1
20200218,-4.1,0
20200219,1,0
20200220,4.6,0
20200221,6.7,4.2
20200222,4,3.1
20200223,2.5,0
20200224,7,0
20200225,6.7,16.6
20200226,6.4,0
20200227,6.1,0
20200228,4.5,3.9
20200229,7.7,0.5
20200301,5.8,0.2
20200302,3.4,0
20200303,4.8,0
20200304,2.2,0
20200305,1.4,0
20200306,3.7,0
20200307,7,0
20200308,9.3,0
20200309,11.1,0
20200310,6.4,11.8
20200311,3.8,0
20200312,6.8,0
20200313,4.9,0.5
20200314,3.6,0
20200315,4,0
20200316,3.6,0
20200317,6.6,0
20200318,10,0
20200319,9.1,0
20200320,8.8,0
20200321,12.8,0
20200322,11,0
20200323,10.6,0
20200324,11.4,0
20200325,12.5,0
20200326,14.8,1.8
20200327,11.9,2
20200328,7.7,0
20200329,8.7,0
20200330,10.2,0
20200331,11.9,0
20200401,11.3,0
20200402,9.3,0
20200403,10,0
20200404,8.9,0
20200405,7.2,0
20200406,9.3,0
20200407,10.6,0
20200408,9.4,0
20200409,8.9,0
20200410,10.7,0
20200411,9.9,0
20200412,9.9,0
20200413,12.4,0
20200414,13,0
